,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax,temp
4164,2021-11-11,275,6,262,0,2162,995605,491617,926738,1128800,0.82,27.2
4165,2021-11-11,403,7,181,1,3321,1220882,526541,1158267,1678700,0.69,26.5
4166,2021-11-11,246,9,223,9,2227,1863060,827102,1827689,2510300,0.73,27.3
4167,2021-11-11,60,10,86,0,448,301728,181054,200660,254900,0.79,27.7
4168,2021-11-11,276,8,59,0,2864,1945996,862778,1503021,1773600,0.85,27.7
4169,2021-11-11,579,13,398,12,8037,2076200,736181,2354877,3908500,0.6,27.53333333333333
4170,2021-11-11,409,14,620,7,5520,1906898,725833,2111270,2816500,0.75,27.05
4171,2021-11-11,1568,11,1343,7,14906,6989000,3273190,4627658,6538000,0.71,27.15
4172,2021-11-11,223,12,252,6,2397,553582,282808,865918,1259300,0.69,25.45
4173,2021-11-11,339,15,267,1,3705,5045627,2336057,2989304,1773700,1.69,27.4
4174,2021-11-11,25,16,5,0,105,84225,34137,78910,99600,0.79,27.7
4175,2021-11-11,84,17,30,0,561,254503,154364,144060,110000,1.31,26.9
4176,2021-11-12,517,2,1126,1,5562,3521331,1534700,3001052,3781000,0.79,26.1
4177,2021-11-12,352,3,409,0,2776,1128437,573825,1549107,2185100,0.71,26.1
4178,2021-11-12,521,4,579,3,5600,423887,240466,1150093,1906700,0.6,26.1
4179,2021-11-12,299,5,255,0,2748,912189,420211,707797,932700,0.76,26.4
4180,2021-11-12,299,6,283,2,2176,1075246,526055,929474,1128800,0.82,26.4
4181,2021-11-12,431,7,246,0,3505,1345213,565925,1159607,1678700,0.69,27.6
4182,2021-11-12,243,9,164,3,2301,1897042,851396,1829805,2510300,0.73,25.4
4183,2021-11-12,54,10,33,1,469,319544,186850,200946,254900,0.79,26.1
4184,2021-11-12,254,8,101,5,3013,1904968,859047,1504075,1773600,0.85,26.1
4185,2021-11-12,611,13,464,10,8180,2030555,733483,2356678,3908500,0.6,25.33333333333333
