id,date,checkins,unique_ind,unique_loc,checkins_to_ind_ratio,state_id,checkins_to_unique_loc_ratio
5266,2021-10-01,7148795,3226455,182845,2.215680987,11,39.09756898
5267,2021-10-01,448320,236390,13198,1.896526926,12,33.96878315
5268,2021-10-01,5071869,2307970,101588,2.197545462,15,49.92586723
5269,2021-10-01,104570,38453,2465,2.719423712,16,42.42190669
5270,2021-10-01,292859,167185,3118,1.751706194,17,93.92527261
5271,2021-10-02,3038675,1358391,93714,2.236966382,2,32.42498453
5272,2021-10-02,1119415,551792,39328,2.028690159,3,28.46356286
5273,2021-10-02,498388,257017,25128,1.939124649,4,19.83397007
5274,2021-10-02,817066,366614,24290,2.228681938,5,33.63795801
5275,2021-10-02,1122993,493521,28513,2.27547156,6,39.38529793
5276,2021-10-02,1065410,453075,34433,2.351509132,7,30.94153864
5277,2021-10-02,1720959,750304,58635,2.293682294,9,29.35037094
5278,2021-10-02,277064,153414,9873,1.805989023,10,28.06279753
5279,2021-10-02,1750501,756795,50006,2.313045144,8,35.0058193
5280,2021-10-02,1949185,659232,48293,2.956751189,13,40.36164662
5281,2021-10-02,2129664,727455,48581,2.927554282,14,43.83738499
5282,2021-10-02,7674757,3308194,157962,2.319923499,11,48.58609666
5283,2021-10-02,577541,276038,20978,2.092251791,12,27.53079417
5284,2021-10-02,5299787,2341713,83534,2.263209454,15,63.44466924
5285,2021-10-02,96029,36336,1955,2.642806033,16,49.11969309
5286,2021-10-02,290998,171539,2068,1.696395572,17,140.7147002
5287,2021-10-03,2955275,1301360,80083,2.270912737,2,36.902651
5288,2021-10-03,1153043,563308,40508,2.046913944,3,28.4645749
5289,2021-10-03,510962,266870,28404,1.914647581,4,17.98908604
5290,2021-10-03,729964,333981,18051,2.185645291,5,40.43897845
5291,2021-10-03,1032214,462684,21657,2.230926507,6,47.6619107
5292,2021-10-03,936606,418002,25492,2.24067349,7,36.7411737
5293,2021-10-03,1494647,682354,41449,2.190427549,9,36.05990494
5294,2021-10-03,232664,128780,7175,1.806678056,10,32.42703833
5295,2021-10-03,1533354,679536,35953,2.256472063,8,42.64884711
5296,2021-10-03,1773715,625329,42280,2.836450892,13,41.95163198
5297,2021-10-03,1920930,676241,34672,2.840599727,14,55.40291878
5298,2021-10-03,7134328,3099723,115632,2.301601788,11,61.69856095
5299,2021-10-03,581879,283148,25084,2.055034823,12,23.19721735
5300,2021-10-03,4952723,2220397,62859,2.230557418,15,78.79099254
5301,2021-10-03,87345,34266,1449,2.549028191,16,60.27950311
5302,2021-10-03,296614,176592,1832,1.679657063,17,161.9072052
5303,2021-10-04,2964804,1376462,104105,2.153930875,2,28.47897795
5304,2021-10-04,1092197,559595,44004,1.951763329,3,24.82040269
5305,2021-10-04,468904,249386,28088,1.880233854,4,16.69410424
5306,2021-10-04,769911,358069,26926,2.150174966,5,28.59358984
5307,2021-10-04,1027772,477862,31887,2.150771562,6,32.23169317
5308,2021-10-04,1053701,456556,39441,2.307933747,7,26.71587941
5309,2021-10-04,1680033,751139,63387,2.236647278,9,26.50437787
5310,2021-10-04,284010,165530,11256,1.715761493,10,25.23187633
5311,2021-10-04,1682386,767252,56103,2.192742411,8,29.98745165
5312,2021-10-04,2060021,716042,63285,2.876955542,13,32.55148929
5313,2021-10-04,1927724,708304,55527,2.721605412,14,34.71687647
5314,2021-10-04,6827641,3130924,181820,2.180711189,11,37.55164998
5315,2021-10-04,547332,271194,25073,2.018230492,12,21.82953775
5316,2021-10-04,4772669,2210275,100788,2.159310041,15,47.35354407
5317,2021-10-04,95151,36569,2421,2.601957943,16,39.3023544
5318,2021-10-04,263999,153644,3185,1.718251282,17,82.88822606
5319,2021-10-05,3069859,1401148,105901,2.190959842,2,28.98800767
5320,2021-10-05,1060525,547046,43147,1.938639529,3,24.57934503
5321,2021-10-05,486572,256335,28311,1.898187918,4,17.18667656
5322,2021-10-05,778728,361085,27371,2.15663348,5,28.45084213
5323,2021-10-05,1033041,477330,32354,2.164207152,6,31.92931322
5324,2021-10-05,1051776,456107,40010,2.305985218,7,26.28782804
5325,2021-10-05,1697966,752913,64374,2.255195487,9,26.37658061
5326,2021-10-05,266796,161103,10898,1.656058546,10,24.48118921
5327,2021-10-05,1665163,765403,55843,2.175537593,8,29.81865229
5328,2021-10-05,2076282,715459,63742,2.902027929,13,32.57321703
5329,2021-10-05,1952664,710765,56254,2.747270898,14,34.71155829
5330,2021-10-05,6949631,3163254,185966,2.196987975,11,37.37043868
5331,2021-10-05,545924,270006,24885,2.02189581,12,21.93787422
5332,2021-10-05,4873451,2237072,103349,2.178495373,15,47.15527968
5333,2021-10-05,99795,37657,2446,2.650104894,16,40.7992641
5334,2021-10-05,265776,155765,3205,1.706262639,17,82.92542902
5335,2021-10-06,3114382,1413493,107035,2.203323257,2,29.09685617
5336,2021-10-06,1011910,530688,42783,1.906788923,3,23.65215156
5337,2021-10-06,483191,254210,28141,1.900755281,4,17.17035642
5338,2021-10-06,784656,362511,27596,2.164502594,5,28.43368604
5339,2021-10-06,1041325,480457,32731,2.167363573,6,31.81464055
5340,2021-10-06,1078187,462285,40415,2.332299339,7,26.67789187
5341,2021-10-06,1641291,741253,64303,2.214211612,9,25.52433012
5342,2021-10-06,257497,155828,10815,1.65244372,10,23.80924642
5343,2021-10-06,1541166,740709,55043,2.080663256,8,27.99930963
5344,2021-10-06,2052250,712029,63738,2.8822562,13,32.1982177
5345,2021-10-06,1959054,712432,56407,2.749811912,14,34.73068945
5346,2021-10-06,7019161,3178321,187383,2.208449367,11,37.45889969
5347,2021-10-06,541774,268460,24958,2.018080906,12,21.70742848
5348,2021-10-06,4905417,2240360,103661,2.189566409,15,47.32172177
5349,2021-10-06,97473,37208,2452,2.619678564,16,39.75244698
5350,2021-10-06,266210,155194,3241,1.715336933,17,82.13822894
5351,2021-10-07,3122320,1419549,106429,2.19951548,2,29.33711676
5352,2021-10-07,1093198,557904,43501,1.959473314,3,25.1304108
5353,2021-10-07,512907,265304,28552,1.933280312,4,17.96396049
5354,2021-10-07,774686,361384,27522,2.143664357,5,28.14788169
