,date,temp,state_id,state
6765,2021-03-26,28.0,17,W.P. Putrajaya
6766,2021-03-27,26.7,2,Johor
6767,2021-03-27,29.3,3,Kedah
6768,2021-03-27,27.8,4,Kelantan
6769,2021-03-27,25.3,5,Melaka
6770,2021-03-27,26.9,7,Pahang
6771,2021-03-27,29.3,8,Pulau Pinang
6772,2021-03-27,27.5,9,Perak
6773,2021-03-27,29.3,10,Perlis
6774,2021-03-27,25.9,11,Selangor
6775,2021-03-27,27.35,12,Terengganu
6776,2021-03-27,27.099999999999998,13,Sabah
6777,2021-03-27,26.9,14,Sarawak
6778,2021-03-27,26.4,15,W.P. Kuala Lumpur
6779,2021-03-27,27.0,16,W.P. Labuan
6780,2021-03-27,25.4,17,W.P. Putrajaya
6781,2021-03-28,26.9,2,Johor
6782,2021-03-28,28.4,3,Kedah
6783,2021-03-28,27.9,4,Kelantan
6784,2021-03-28,27.8,5,Melaka
6785,2021-03-28,27.9,7,Pahang
6786,2021-03-28,28.4,8,Pulau Pinang
6787,2021-03-28,28.8,9,Perak
6788,2021-03-28,28.4,10,Perlis
6789,2021-03-28,28.6,11,Selangor
6790,2021-03-28,27.9,12,Terengganu
6791,2021-03-28,27.7,13,Sabah
6792,2021-03-28,27.75,14,Sarawak
6793,2021-03-28,29.0,15,W.P. Kuala Lumpur
6794,2021-03-28,27.6,16,W.P. Labuan
6795,2021-03-28,28.2,17,W.P. Putrajaya
6796,2021-03-29,26.0,2,Johor
6797,2021-03-29,28.6,3,Kedah
6798,2021-03-29,28.3,4,Kelantan
6799,2021-03-29,26.4,5,Melaka
6800,2021-03-29,27.4,7,Pahang
6801,2021-03-29,28.6,8,Pulau Pinang
6802,2021-03-29,27.6,9,Perak
6803,2021-03-29,28.6,10,Perlis
6804,2021-03-29,26.549999999999997,11,Selangor
6805,2021-03-29,27.85,12,Terengganu
6806,2021-03-29,27.233333333333334,13,Sabah
6807,2021-03-29,26.650000000000002,14,Sarawak
6808,2021-03-29,26.9,15,W.P. Kuala Lumpur
6809,2021-03-29,26.9,16,W.P. Labuan
6810,2021-03-29,26.2,17,W.P. Putrajaya
6811,2021-03-30,26.7,2,Johor
6812,2021-03-30,29.6,3,Kedah
6813,2021-03-30,27.9,4,Kelantan
6814,2021-03-30,28.1,5,Melaka
6815,2021-03-30,27.1,7,Pahang
6816,2021-03-30,29.6,8,Pulau Pinang
6817,2021-03-30,28.7,9,Perak
6818,2021-03-30,29.6,10,Perlis
6819,2021-03-30,29.4,11,Selangor
6820,2021-03-30,27.5,12,Terengganu
6821,2021-03-30,28.03333333333333,13,Sabah
6822,2021-03-30,27.25,14,Sarawak
6823,2021-03-30,29.8,15,W.P. Kuala Lumpur
6824,2021-03-30,26.6,16,W.P. Labuan
6825,2021-03-30,29.0,17,W.P. Putrajaya
6826,2021-03-31,26.6,2,Johor
6827,2021-03-31,28.2,3,Kedah
6828,2021-03-31,28.2,4,Kelantan
6829,2021-03-31,28.7,5,Melaka
6830,2021-03-31,27.6,7,Pahang
6831,2021-03-31,28.2,8,Pulau Pinang
6832,2021-03-31,27.4,9,Perak
6833,2021-03-31,28.2,10,Perlis
6834,2021-03-31,29.35,11,Selangor
6835,2021-03-31,27.9,12,Terengganu
6836,2021-03-31,27.933333333333337,13,Sabah
6837,2021-03-31,27.65,14,Sarawak
6838,2021-03-31,29.8,15,W.P. Kuala Lumpur
6839,2021-03-31,26.9,16,W.P. Labuan
6840,2021-03-31,28.9,17,W.P. Putrajaya
6841,2021-04-01,27.4,2,Johor
6842,2021-04-01,29.8,3,Kedah
6843,2021-04-01,27.9,4,Kelantan
6844,2021-04-01,29.0,5,Melaka
6845,2021-04-01,26.6,7,Pahang
6846,2021-04-01,29.8,8,Pulau Pinang
6847,2021-04-01,29.3,9,Perak
6848,2021-04-01,29.8,10,Perlis
6849,2021-04-01,29.85,11,Selangor
6850,2021-04-01,27.25,12,Terengganu
6851,2021-04-01,26.700000000000003,13,Sabah
